Family-model,Version,Filename,EventType
GenuineIntel-6-56,V4,BroadwellDE,core
GenuineIntel-6-3D,V16,Broadwell,core
GenuineIntel-6-47,V16,Broadwell,core
GenuineIntel-6-4F,V9,BroadwellX,core
GenuineIntel-6-1C,V4,Bonnell,core
GenuineIntel-6-26,V4,Bonnell,core
GenuineIntel-6-27,V4,Bonnell,core
GenuineIntel-6-36,V4,Bonnell,core
GenuineIntel-6-35,V4,Bonnell,core
GenuineIntel-6-5C,V8,Goldmont,core
GenuineIntel-6-3C,V23,Haswell,core
GenuineIntel-6-45,V23,Haswell,core
GenuineIntel-6-46,V23,Haswell,core
GenuineIntel-6-3F,V16,HaswellX,core
GenuineIntel-6-3A,V17,IvyBridge,core
GenuineIntel-6-3E,V18,IvyTown,core
GenuineIntel-6-2D,V19,Jaketown,core
GenuineIntel-6-57,V8,KnightsLanding,core
GenuineIntel-6-1E,V2,NehalemEP,core
GenuineIntel-6-1F,V2,NehalemEP,core
GenuineIntel-6-1A,V2,NehalemEP,core
